Handle,Variant Price
duffy-dyer-136,999999
duffy-dyer-136,
john-bateman-31,9999999
vicente-romo,9999999
vicente-romo,
gary-smith-176,99999
gary-smith-176,
1967-68-topps-128-bobby-orr-as,1200
1967-68-topps-128-bobby-orr-as,
1971-partridge-family-series-a-32a-keith-makes-a-point,6
1971-partridge-family-series-a-40a-heading-out-on-tour,6
1971-partridge-family-series-a-8a-david-does-a-solo,6
1971-partridge-family-series-a-36a-singing-up-a-storm,6
1971-partridge-family-series-a-42a-the-lead-singer,6
1971-partridge-family-series-a-38a-close-friends,6
1971-partridge-family-series-a-44a-unwanted-visitor,6
1971-partridge-family-series-a-2a-partridge-pow-wow,6
1971-partridge-family-series-a-48a-arriving-for-show,6
1971-partridge-family-series-a-4a-belting-out-a-song,6
1971-partridge-family-series-a-30a-david-on-stage,6
1971-partridge-family-series-a-10a-arriving-in-vegas,6
1971-partridge-family-series-a-9a-electrifying-performance,6
1971-partridge-family-series-a-16a-happy-times,6
1971-partridge-family-series-a-18a-david-comes-clean,6
1971-partridge-family-series-a-14a-standing-in-the-wings,6
1971-partridge-family-series-a-39a-a-swinging-singer,6
1971-partridge-family-series-a-5a-introducing-his-latest-hit,6
1971-partridge-family-series-a-15a-everybody-smiles,6
1971-partridge-family-series-a-31a-performing-for-their-fans,6
1971-partridge-family-series-a-28a-showing-up-on-schedule,6
1971-partridge-family-series-a-50a-leaving-town-today,6
1971-partridge-family-series-a-35a-turned-on-performance,6
1971-partridge-family-series-a-47a-what-a-groovy-guy,6
1971-partridge-family-series-a-23a-pretty-clever-kid,6
1971-partridge-family-series-a-33a-spotlight-on-danny,6
1971-partridge-family-series-a-26a-the-family-pet,6
1971-partridge-family-series-a-52a-reaching-their-destination,6
1971-partridge-family-series-a-21a-trying-out-a-brand-new-tune,6
1971-partridge-family-series-a-22a-just-david,6
1971-partridge-family-series-a-19a-red-hot-performers,6
1971-partridge-family-series-a-25a-all-american-boy,6
1971-partridge-family-series-a-24a-learning-their-lines,6
1971-partridge-family-series-a-46a-crowded-quarters,6
1971-partridge-family-series-a-27a-all-aboard,6
1971-partridge-family-series-a-54a-laurie-and-the-younger-set,6
1971-partridge-family-series-a-3a-beating-the-skins,6
1971-partridge-family-series-a-43a-family-discussion,6
1971-partridge-family-series-a-49a-lauries-got-a-date-tonight,6
1971-partridge-family-series-a-51a-freckled-face-favorite,6
1971-partridge-family-series-a-11a-5-minutes-to-showtime,6
1971-partridge-family-series-a-41a-picking-up-the-beat,6
1971-partridge-family-series-a-53a-keith-laurie-and-danny,6
1971-partridge-family-series-a-37a-time-to-rehearse,6
1971-partridge-family-series-a-29a-just-before-showtime,6
1971-partridge-family-series-a-6a-shirley-at-the-wheel,6
1971-partridge-family-series-a-7a-making-sweet-music,6
1971-partridge-family-series-a-12a-david-spruces-up,6
1971-72-o-pee-chee-247-phil-esposito-ross,30
1971-72-o-pee-chee-247-phil-esposito-ross,
1971-72-o-pee-chee-249-johnny-bucyk-byng,18
1971-72-o-pee-chee-249-johnny-bucyk-byng,
1971-72-o-pee-chee-248-ed-giacomin-gilles-villemure-vezina-trophy,18
1971-72-o-pee-chee-248-ed-giacomin-gilles-villemure-vezina-trophy,
1971-72-o-pee-chee-246-gilbert-perreault-calder,45
1971-72-o-pee-chee-246-gilbert-perreault-calder,
1972-73-o-pee-chee-156-stan-mikita-ia,15
1972-73-o-pee-chee-156-stan-mikita-ia,
1972-73-o-pee-chee-169-ken-hodge,9
1972-73-o-pee-chee-169-ken-hodge,
1972-73-o-pee-chee-135-dallas-smith-ia,9
1972-73-o-pee-chee-135-dallas-smith-ia,
1972-73-o-pee-chee-196-tony-esposito-ia,24
1972-73-o-pee-chee-196-tony-esposito-ia,
1972-73-o-pee-chee-149-orland-kurtenbach-ia,9
1972-73-o-pee-chee-149-orland-kurtenbach-ia,
1972-73-o-pee-chee-182-richard-martin-ia-uer,12
1972-73-o-pee-chee-182-richard-martin-ia-uer,
1972-73-o-pee-chee-128-frank-mahovlich-ia,9
1972-73-o-pee-chee-128-frank-mahovlich-ia,
1972-73-o-pee-chee-186-eddie-shack,60
1972-73-o-pee-chee-186-eddie-shack,
1972-73-o-pee-chee-283-assists-leaders-bobby-orr-phil-esposito-jean-ratelle,75
1972-73-o-pee-chee-283-assists-leaders-bobby-orr-phil-esposito-jean-ratelle,
1972-73-o-pee-chee-268-penalty-min-leaders-bryan-watson-keith-magnuson,15
1972-73-o-pee-chee-268-penalty-min-leaders-bryan-watson-keith-magnuson,
1972-73-o-pee-chee-230-phil-esposito-as1-brother-tony-also-in-photo,30
1972-73-o-pee-chee-230-phil-esposito-as1-brother-tony-also-in-photo,
1972-73-o-pee-chee-226-tony-esposito-as1,45
1972-73-o-pee-chee-226-tony-esposito-as1,
1972-73-o-pee-chee-155-vezina-trophy-winners,9
1972-73-o-pee-chee-155-vezina-trophy-winners,
1972-73-o-pee-chee-134-calder-trophy-winners,9
1972-73-o-pee-chee-134-calder-trophy-winners,
1972-73-o-pee-chee-253-stanley-cup-trophy,45
1972-73-o-pee-chee-253-stanley-cup-trophy,
1972-73-topps-172-james-norris-trophy,4.5
1972-73-topps-172-james-norris-trophy,
1972-73-o-pee-chee-175-conn-smythe-trophy-winners,9
1972-73-o-pee-chee-175-conn-smythe-trophy-winners,
1971-72-o-pee-chee-263-jean-beliveau-retires,180
1971-72-o-pee-chee-263-jean-beliveau-retires,
1971-72-o-pee-chee-255-johnny-bucyk-as1,18
1971-72-o-pee-chee-255-johnny-bucyk-as1,
1971-72-o-pee-chee-254-ken-hodge-as1,18
1971-72-o-pee-chee-254-ken-hodge-as1,
1971-72-o-pee-chee-260-yvan-cournoyer-as2,18
1971-72-o-pee-chee-260-yvan-cournoyer-as2,
1971-72-o-pee-chee-250-ed-giacomin-as1,18
1971-72-o-pee-chee-250-ed-giacomin-as1,
1971-72-o-pee-chee-259-dave-keon-as2,24
1971-72-o-pee-chee-259-dave-keon-as2,
1971-72-o-pee-chee-256-jacques-plante-as2-uer,45
1971-72-o-pee-chee-256-jacques-plante-as2-uer,
1971-72-o-pee-chee-258-pat-stapleton-as2,18
1971-72-o-pee-chee-258-pat-stapleton-as2,
1971-72-o-pee-chee-261-bobby-hull-as2,75
1971-72-o-pee-chee-261-bobby-hull-as2,
1970-71-o-pee-chee-241-john-mckenzie-as2,12
1970-71-o-pee-chee-241-john-mckenzie-as2,
1969-70-o-pee-chee-214-phil-esposito-as,60
1969-70-o-pee-chee-214-phil-esposito-as,
1969-70-o-pee-chee-216-bobby-hull-as,105
1969-70-o-pee-chee-216-bobby-hull-as,
1969-70-o-pee-chee-215-gordie-howe-as,150
1969-70-o-pee-chee-215-gordie-howe-as,
1968-69-o-pee-chee-212-gump-worsley-rogatien-vachon-vezina,120
1968-69-o-pee-chee-212-gump-worsley-rogatien-vachon-vezina,
1967-68-topps-127-tim-horton-as,60
1966-67-topps-129-pat-stapleton-as,36
1971-72-o-pee-chee-191-nick-harbaruk-rc,15
1971-72-o-pee-chee-191-nick-harbaruk-rc,
1971-72-o-pee-chee-190-sheldon-kannegiesser-rc,15
1971-72-o-pee-chee-190-sheldon-kannegiesser-rc,
1971-72-o-pee-chee-189-val-fonteyne,15
1971-72-o-pee-chee-189-val-fonteyne,
1971-72-o-pee-chee-188-keith-mccreary,15
1971-72-o-pee-chee-188-keith-mccreary,
1971-72-o-pee-chee-187-darryl-edestrand-rc,15
1971-72-o-pee-chee-187-darryl-edestrand-rc,
1971-72-o-pee-chee-185-gerry-pinder,15
1971-72-o-pee-chee-185-gerry-pinder,
1971-72-o-pee-chee-184-craig-patrick-rc,30
1971-72-o-pee-chee-184-craig-patrick-rc,
1971-72-o-pee-chee-183-stan-gilbertson-rc,15
1971-72-o-pee-chee-183-stan-gilbertson-rc,
1971-72-o-pee-chee-182-joey-johnston-rc,15
1971-72-o-pee-chee-182-joey-johnston-rc,
1971-72-o-pee-chee-181-gary-kurt-rc,18
1971-72-o-pee-chee-181-gary-kurt-rc,
1971-72-o-pee-chee-180-don-odonoghue-rc,15
1971-72-o-pee-chee-180-don-odonoghue-rc,
1971-72-o-pee-chee-177-bobby-sheehan-rc,15
1971-72-o-pee-chee-177-bobby-sheehan-rc,
1971-72-o-pee-chee-174-rick-smith,15
1971-72-o-pee-chee-174-rick-smith,
1971-72-o-pee-chee-173-ted-green,18
1971-72-o-pee-chee-173-ted-green,
1971-72-o-pee-chee-172-ed-johnston,18
1971-72-o-pee-chee-172-ed-johnston,
1971-72-o-pee-chee-171-mike-walton,15
1971-72-o-pee-chee-171-mike-walton,
1971-72-o-pee-chee-169-ed-westfall,18
1971-72-o-pee-chee-169-ed-westfall,
1971-72-o-pee-chee-168-larry-hillman,15
1971-72-o-pee-chee-168-larry-hillman,
1971-72-o-pee-chee-167-larry-mickey,15
1971-72-o-pee-chee-167-larry-mickey,
1971-72-o-pee-chee-165-jim-watson,15
1971-72-o-pee-chee-165-jim-watson,
1971-72-o-pee-chee-163-ron-anderson,15
1971-72-o-pee-chee-163-ron-anderson,
1971-72-o-pee-chee-162-steve-atkinson-rc,15
1971-72-o-pee-chee-162-steve-atkinson-rc,
1971-72-o-pee-chee-161-richard-martin-rc,60
1971-72-o-pee-chee-161-richard-martin-rc,
1971-72-o-pee-chee-160-gerry-meehan,18
1971-72-o-pee-chee-160-gerry-meehan,
1971-72-o-pee-chee-159-dave-dryden,18
1971-72-o-pee-chee-159-dave-dryden,
1971-72-o-pee-chee-158-floyd-smith,15
1971-72-o-pee-chee-158-floyd-smith,
1971-72-o-pee-chee-157-mike-corrigan,15
1971-72-o-pee-chee-157-mike-corrigan,
1971-72-o-pee-chee-149-dale-hoganson-rc,15
1971-72-o-pee-chee-149-dale-hoganson-rc,
1971-72-o-pee-chee-155-gary-edwards-rc,18
1971-72-o-pee-chee-155-gary-edwards-rc,
1971-72-o-pee-chee-154-real-lemieux,15
1971-72-o-pee-chee-154-real-lemieux,
1971-72-o-pee-chee-153-harry-howell,18
1971-72-o-pee-chee-153-harry-howell,
1971-72-o-pee-chee-152-butch-goring-rc,30
1971-72-o-pee-chee-152-butch-goring-rc,
1971-72-o-pee-chee-151-gilles-marotte,15
1971-72-o-pee-chee-151-gilles-marotte,
1971-72-o-pee-chee-150-al-mcdonough-rc,15
1971-72-o-pee-chee-150-al-mcdonough-rc,
1971-72-o-pee-chee-2-pierre-bouchard-rc,15
1971-72-o-pee-chee-2-pierre-bouchard-rc,
1971-72-o-pee-chee-148-guy-lafleur-uer-rc,600
1971-72-o-pee-chee-148-guy-lafleur-uer-rc,
1971-72-o-pee-chee-114-bobby-clarke,180
1971-72-o-pee-chee-114-bobby-clarke,
1971-72-o-pee-chee-112-jim-neilson,12
1971-72-o-pee-chee-112-jim-neilson,
1971-72-o-pee-chee-103-bob-plager,24
1971-72-o-pee-chee-103-bob-plager,
1971-72-o-pee-chee-97-jean-ratelle,24
1971-72-o-pee-chee-97-jean-ratelle,
1971-72-o-pee-chee-88-phil-goyette,12
1971-72-o-pee-chee-88-phil-goyette,
1971-72-o-pee-chee-49-al-hamilton,12
1971-72-o-pee-chee-49-al-hamilton,
1971-72-o-pee-chee-46-carol-vadnais,15
1971-72-o-pee-chee-46-carol-vadnais,
1971-72-o-pee-chee-11-bill-white,12
1971-72-o-pee-chee-11-bill-white,
1971-72-o-pee-chee-8-mike-robitaille-rc,12
1971-72-o-pee-chee-8-mike-robitaille-rc,
1971-72-o-pee-chee-179-norm-ferguson,15
1971-72-o-pee-chee-179-norm-ferguson,
1971-72-o-pee-chee-122-pat-quinn,15
1971-72-o-pee-chee-122-pat-quinn,
1968-69-o-pee-chee-2-bobby-orr,1200
1968-69-o-pee-chee-2-bobby-orr,
1971-72-o-pee-chee-147-rejean-houle,18
1971-72-o-pee-chee-147-rejean-houle,
1971-72-o-pee-chee-146-claude-larose-uer-misspelled-la-rose-on-both-sides,15
1971-72-o-pee-chee-146-claude-larose-uer-misspelled-la-rose-on-both-sides,
1971-72-o-pee-chee-145-guy-lapointe,18
1971-72-o-pee-chee-145-guy-lapointe,
1971-72-o-pee-chee-144-jacques-laperriere,18
1971-72-o-pee-chee-144-jacques-laperriere,
1971-72-o-pee-chee-143-serge-savard,30
1971-72-o-pee-chee-143-serge-savard,
1971-72-o-pee-chee-142-bill-hicke,15
1971-72-o-pee-chee-142-bill-hicke,
1971-72-o-pee-chee-141-bill-sutherland,15
1971-72-o-pee-chee-141-bill-sutherland,
1971-72-o-pee-chee-140-nick-libett,15
1971-72-o-pee-chee-140-nick-libett,
1971-72-o-pee-chee-139-bill-collins,15
1971-72-o-pee-chee-139-bill-collins,
1971-72-o-pee-chee-137-joe-daley,18
1971-72-o-pee-chee-137-joe-daley,
1971-72-o-pee-chee-136-serge-lajeunesse-rc,15
1971-72-o-pee-chee-136-serge-lajeunesse-rc,
1971-72-o-pee-chee-133-marcel-dionne-rc,450
1971-72-o-pee-chee-133-marcel-dionne-rc,
1971-o-pee-chee-73-george-brunet-st-louis-cardinals,4.5
1971-o-pee-chee-73-george-brunet-st-louis-cardinals,
1972-o-pee-chee-86-al-batting-leaders-tony-oliva-bobby-murcer-merv,12
1972-o-pee-chee-86-al-batting-leaders-tony-oliva-bobby-murcer-merv,
1971-topps-515-carl-morton,7.5
1971-topps-515-carl-morton,
1970-topps-78-joe-lahoud,2.25
1970-topps-78-joe-lahoud,
1971-topps-220-ron-santo,12
1971-topps-220-ron-santo,
1971-topps-406-ray-sadecki,7.5
1971-topps-406-ray-sadecki,
1971-topps-647-juan-pizarro,24
1971-topps-647-juan-pizarro,
1971-topps-55-steve-carlton,60
1971-topps-55-steve-carlton,
1971-topps-108-john-cumberland,4.5
1971-topps-108-john-cumberland,
1971-topps-390-glenn-beckert,6
1971-topps-390-glenn-beckert,
1971-topps-340-rico-petrocelli,6
1971-topps-340-rico-petrocelli,
1971-topps-181-hal-lanier,4.5
1971-topps-181-hal-lanier,
1971-topps-190-bob-tolan,4.5
1971-topps-190-bob-tolan,
1971-topps-305-reggie-smith,6
1971-topps-305-reggie-smith,
1971-topps-536-claude-raymond,12
1971-topps-536-claude-raymond,
1971-topps-752-dick-drago,36
1971-topps-752-dick-drago,
1971-topps-176-rookie-stars-bob-montgomery-rc-doug-griffin-rc,6
1971-topps-176-rookie-stars-bob-montgomery-rc-doug-griffin-rc,
1971-topps-156-bart-johnson,4.5
1971-topps-156-bart-johnson,
1972-o-pee-chee-31-cleon-jones,6
1972-o-pee-chee-31-cleon-jones,
1971-topps-320-dave-mcnally,6
1971-topps-320-dave-mcnally,
1971-topps-135-rick-monday,6
1971-topps-135-rick-monday,
1971-topps-147-bob-priddy,4.5
1971-topps-147-bob-priddy,
1970-topps-268-claude-raymond,3
1970-topps-268-claude-raymond,
1970-topps-89-juan-rios,2.25
1970-topps-89-juan-rios,
1970-topps-183-jerry-grote,4.5
1970-topps-183-jerry-grote,
1971-topps-375-steve-hargan,4.5
1971-topps-375-steve-hargan,
1971-topps-372-lew-krausse,4.5
1971-topps-372-lew-krausse,
1971-topps-58-bill-lee,6
1971-topps-58-bill-lee,
1971-topps-171-bobby-wine,4.5
1971-topps-171-bobby-wine,
1972-o-pee-chee-80-tony-perez,24
1972-o-pee-chee-80-tony-perez,
1970-topps-472-atlanta-braves-tc,12
1970-topps-472-atlanta-braves-tc,
1971-topps-554-lowell-palmer,12
1971-topps-554-lowell-palmer,
1971-topps-90-joe-pepitone,6
1971-topps-90-joe-pepitone,
1972-o-pee-chee-33-billy-martin-mg,18
1972-o-pee-chee-33-billy-martin-mg,
1971-topps-539-larry-brown,12
1971-topps-539-larry-brown,
1971-topps-436-wilbur-wood,12
1971-topps-436-wilbur-wood,
1971-topps-191-mike-andrews,4.5
1971-topps-191-mike-andrews,
1970-topps-110-bob-moose,2.25
1970-topps-110-bob-moose,
1970-topps-192-jim-qualls,3
1970-topps-192-jim-qualls,
1971-topps-316-fred-scherman-rc,4.5
1971-topps-316-fred-scherman-rc,
1971-topps-198-al-playoff-summary-orioles-celebrate,6
1971-topps-198-al-playoff-summary-orioles-celebrate,
1971-topps-32-jerry-davanon,4.5
1971-topps-32-jerry-davanon,
1971-topps-378-tito-fuentes,4.5
1971-topps-378-tito-fuentes,
1971-topps-391-rookie-stars-steve-brye-rc-cotton-nash-rc,6
1971-topps-391-rookie-stars-steve-brye-rc-cotton-nash-rc,
1971-topps-274-ron-slocum,4.5
1971-topps-274-ron-slocum,
1970-topps-85-max-alvis,2.25
1970-topps-85-max-alvis,
1971-topps-487-paul-schaal,7.5
1971-topps-487-paul-schaal,
1971-topps-239-red-schoendienst-mg,6
1971-topps-239-red-schoendienst-mg,
1971-topps-364-tommy-dean,4.5
1971-topps-364-tommy-dean,
1971-topps-150-sam-mcdowell,6
1971-topps-150-sam-mcdowell,
1969-o-pee-chee-203-dave-johnson,12
1969-o-pee-chee-203-dave-johnson,
1971-topps-384-rollie-fingers,18
1971-topps-384-rollie-fingers,
1971-topps-700-boog-powell-sp,75
1971-topps-700-boog-powell-sp,
1964-topps-33-rookie-stars-sammy-ellis-mel-queen,18
1964-topps-33-rookie-stars-sammy-ellis-mel-queen,
1971-topps-60-dick-bosman,4.5
1971-topps-60-dick-bosman,
1970-topps-540-gary-peters,6
1970-topps-540-gary-peters,
1971-topps-123b-checklist-2-card-number-centered,30
1971-topps-123b-checklist-2-card-number-centered,
1971-topps-81-felix-millan,4.5
1971-topps-81-felix-millan,
1971-topps-110-bill-mazeroski,18
1971-topps-110-bill-mazeroski,
1971-topps-112-manny-mota,6
1971-topps-112-manny-mota,
1971-topps-224-alan-gallagher-rc,4.5
1971-topps-224-alan-gallagher-rc,
1971-topps-339-wayne-simpson,4.5
1971-topps-339-wayne-simpson,
1971-topps-267-rich-morales,4.5
1971-topps-267-rich-morales,
1971-topps-262-rookie-stars-jim-williams-dave-robinson-rc,4.5
1971-topps-262-rookie-stars-jim-williams-dave-robinson-rc,
1971-topps-295-bobby-bonds,12
1971-topps-295-bobby-bonds,
1971-topps-380-ted-williams-mg,36
1971-topps-380-ted-williams-mg,
1971-topps-260-tommy-harper,6
1971-topps-260-tommy-harper,
1971-topps-306-jim-nash,4.5
1971-topps-306-jim-nash,
1970-topps-245-leo-cardenas,3
1970-topps-245-leo-cardenas,
1971-72-o-pee-chee-156-rogatien-vachon,30
1971-72-o-pee-chee-156-rogatien-vachon,
1972-73-o-pee-chee-111-phil-esposito,45
1972-73-o-pee-chee-111-phil-esposito,
1972-73-o-pee-chee-112-gilles-meloche-rc,24
1972-73-o-pee-chee-112-gilles-meloche-rc,
1972-73-o-pee-chee-116-jim-lorentz,9
1972-73-o-pee-chee-116-jim-lorentz,
1972-73-o-pee-chee-119-gerry-desjardins-dp,4.5
1972-73-o-pee-chee-119-gerry-desjardins-dp,
1972-73-o-pee-chee-122-bill-plager-rc,12
1972-73-o-pee-chee-122-bill-plager-rc,
1972-73-o-pee-chee-123-red-berenson-dp,4.5
1972-73-o-pee-chee-123-red-berenson-dp,
1972-73-o-pee-chee-124-peter-mahovlich-dp,9
1972-73-o-pee-chee-124-peter-mahovlich-dp,
1972-73-o-pee-chee-125-simon-nolet,9
1972-73-o-pee-chee-125-simon-nolet,
1972-73-o-pee-chee-126-paul-henderson,9
1972-73-o-pee-chee-126-paul-henderson,
1972-73-o-pee-chee-132-gilles-villemure,9
1972-73-o-pee-chee-132-gilles-villemure,
1972-73-o-pee-chee-136-gilbert-perreault-dp,36
1972-73-o-pee-chee-136-gilbert-perreault-dp,
1972-73-o-pee-chee-137-tony-esposito-dp,60
1972-73-o-pee-chee-137-tony-esposito-dp,
1972-73-o-pee-chee-144-arnie-brown,9
1972-73-o-pee-chee-144-arnie-brown,
1972-73-o-pee-chee-145-ken-dryden-dp,120
1972-73-o-pee-chee-145-ken-dryden-dp,
1972-73-o-pee-chee-147-norm-ullman,15
1972-73-o-pee-chee-147-norm-ullman,
1972-73-o-pee-chee-151-dick-redmond-dp,4.5
1972-73-o-pee-chee-151-dick-redmond-dp,
1972-73-o-pee-chee-153-rod-gilbert,15
1972-73-o-pee-chee-153-rod-gilbert,
1972-73-o-pee-chee-154-duane-rupp,9
1972-73-o-pee-chee-154-duane-rupp,
1972-73-o-pee-chee-157-richard-martin-dp,15
1972-73-o-pee-chee-157-richard-martin-dp,
